host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,price,has_availability,review_scores_rating,instant_bookable,reviews_per_month
100%,100%,t,t,t,359,t,4.77,t,1.3
100%,98%,f,t,t,46,t,4,f,0.04
94%,93%,t,t,f,271,t,3.5,t,0.37
100%,100%,f,t,t,270,t,4.52,t,2.9
100%,100%,t,t,t,160,t,4.83,t,3.42
100%,100%,t,t,t,515,t,4.91,f,0.71
100%,100%,t,t,f,274,t,4.94,f,0.48
100%,97%,t,t,t,1320,t,5,t,0.17
100%,100%,t,t,t,190,t,4.86,f,1.12
100%,100%,f,t,t,290,t,4.91,t,0.83
100%,100%,f,t,t,188,t,4.82,t,1.56
100%,99%,f,t,t,251,t,2,f,0.37
100%,100%,f,t,f,171,t,5,t,0.5
100%,100%,t,t,t,189,t,4.9,t,0.94
98%,100%,t,t,t,231,t,4.91,f,4.19
99%,97%,f,t,t,264,t,4.57,t,0.3
100%,97%,f,t,t,387,t,3.5,t,1.43
100%,100%,f,t,t,554,t,5,t,0.02
100%,99%,t,t,t,167,t,4.97,f,2.8
100%,98%,f,t,t,42,t,4.6,f,0.19
100%,98%,f,t,t,45,t,4.6,f,0.15
93%,100%,f,t,t,382,t,4.85,t,0.62
99%,97%,f,t,t,290,t,4.93,t,0.52
100%,100%,f,t,t,652,t,4.67,t,0.04
100%,98%,f,t,t,43,t,4,f,0.1
96%,99%,t,t,t,461,t,4.95,f,1.79
100%,100%,t,t,t,325,t,4.92,f,1.73
100%,100%,t,t,t,117,t,4.67,f,0.41
100%,98%,f,t,t,42,t,3.5,f,0.06
100%,100%,t,t,t,159,t,4.87,f,4.58
100%,99%,f,t,t,1113,t,5,t,0.14
100%,87%,t,t,t,571,t,5,f,3.15
100%,99%,t,t,t,707,t,4.93,t,1.72
100%,98%,f,t,t,500,t,4,t,0.13
100%,100%,f,t,t,225,t,4.57,t,0.8
100%,59%,t,t,t,490,t,5,f,0.34
100%,100%,t,t,t,155,t,4.79,f,4.67
100%,99%,t,t,t,201,t,4.94,t,1.63
100%,100%,t,t,t,389,t,4.77,t,0.45
100%,99%,t,t,t,244,t,4.77,t,0.29
100%,99%,t,t,t,233,t,4.93,t,0.99
99%,97%,f,t,t,209,t,4.72,t,0.33
99%,97%,f,t,t,431,t,4.91,t,0.3
100%,98%,t,t,t,415,t,4.95,f,2.31
96%,100%,f,t,t,341,t,4,t,0.14
100%,99%,t,t,t,203,t,4.88,t,2.25
100%,99%,t,t,t,520,t,4.97,t,3.1
100%,100%,f,t,t,368,t,5,f,0.03
100%,96%,t,t,t,340,t,4.95,f,1.56
100%,100%,t,t,t,378,t,4.91,f,2.46
100%,99%,t,t,t,119,t,4.76,t,1.33
100%,99%,t,t,t,128,t,4.72,t,1.04
100%,100%,f,t,f,218,t,4,t,0.11
77%,100%,t,t,t,380,t,4.75,t,1.55
100%,99%,t,t,t,95,t,4.5,t,2
100%,99%,t,t,t,119,t,4.75,t,1.7
99%,97%,f,t,t,237,t,5,t,0.48
99%,97%,f,t,t,222,t,4.79,t,0.68
100%,100%,f,t,t,185,t,4.84,t,1.99
88%,40%,t,t,t,108,t,4.69,f,0.35
100%,97%,t,t,t,262,t,4.89,t,1.04
98%,17%,f,t,t,266,t,5,f,0.08
88%,98%,f,t,t,101,t,4.54,f,5.17
93%,54%,t,t,t,355,t,5,f,0.05
100%,75%,f,t,f,189,t,4.67,f,0.28
99%,97%,f,t,t,301,t,4.83,t,0.21
99%,97%,f,t,t,414,t,4.21,t,0.24
100%,100%,t,t,t,550,t,4.99,t,1.89
91%,38%,f,t,t,135,t,4.8,f,0.46
100%,97%,t,t,t,999,t,5,f,0.09
100%,99%,t,t,t,223,t,4.83,f,0.68
100%,100%,t,t,t,240,t,4.85,f,4.06
100%,99%,t,t,t,214,t,4.82,f,1.79
100%,63%,f,t,t,727,t,4.91,f,0.43
100%,100%,f,t,t,162,t,4.65,t,0.42
100%,97%,f,t,f,214,t,4.48,t,0.37
100%,100%,t,t,t,90,t,5,f,0.85
100%,99%,t,t,t,315,t,4,t,0.26
100%,99%,f,t,t,244,t,5,t,0.4
93%,100%,f,t,t,299,t,4.73,t,0.44
100%,99%,t,t,t,136,t,5,t,2
100%,100%,t,t,f,76,t,4.89,f,0.76
100%,100%,f,t,t,128,t,4.59,f,1.14
100%,100%,t,t,t,141,t,5,t,0.3
91%,38%,f,t,t,135,t,4.67,f,0.36
96%,55%,t,t,t,183,t,3.5,f,0.27
98%,21%,t,t,t,126,t,4.63,f,1.05
91%,38%,f,t,t,185,t,5,f,0.19
100%,71%,f,t,t,295,t,4.66,f,0.26
100%,99%,f,t,t,174,t,5,t,0.14
100%,100%,t,t,t,185,t,4.83,f,3.38
100%,95%,f,t,t,128,t,5,f,4
100%,100%,f,t,f,95,t,4.66,f,1.58
100%,89%,t,t,t,110,t,4.93,t,0.15
97%,73%,t,t,t,221,t,4.8,f,1.2
99%,97%,f,t,t,260,t,5,t,0.19
99%,97%,f,t,t,313,t,4.85,t,0.43
99%,97%,f,t,t,291,t,5,t,0.3
100%,100%,t,t,t,415,t,4.94,t,0.58
100%,67%,f,t,t,389,t,4.91,f,0.12
87%,32%,t,t,t,166,t,4.94,f,0.61
99%,97%,f,t,t,343,t,5,t,0.11
91%,38%,f,t,t,215,t,4.5,f,0.47
98%,21%,t,t,t,174,t,5,f,0.25
99%,71%,t,t,t,181,t,4.5,f,0.19
100%,97%,t,t,t,1199,t,5,f,0.28
99%,33%,f,t,t,275,t,5,f,0.19
98%,21%,t,t,t,200,t,4.6,f,0.58
100%,100%,f,t,t,135,t,4.82,t,0.36
97%,21%,t,t,t,292,t,4.8,f,0.89
98%,100%,t,t,t,223,t,4.92,t,2.53
100%,97%,t,t,t,460,t,5,f,0.42
99%,99%,f,t,f,83,t,5,t,1
99%,97%,f,t,t,258,t,4.47,t,0.35
94%,96%,t,t,t,145,t,4.75,f,0.05
100%,100%,t,t,t,141,t,5,t,0.04
100%,100%,f,t,f,275,t,4.86,f,2.35
100%,96%,t,t,t,169,t,4.99,t,3.51
100%,98%,f,f,t,209,t,4.75,t,2.22
87%,32%,t,t,t,217,t,5,f,0.56
99%,33%,f,t,t,209,t,4.5,f,0.52
98%,21%,t,t,t,174,t,5,f,1
87%,32%,t,t,t,414,t,4.86,f,0.5
100%,100%,t,t,t,144,t,4.98,f,4.16
100%,100%,t,t,f,200,t,5,f,3
100%,100%,t,t,f,299,t,4.76,t,1.88
100%,100%,t,t,t,145,t,4.93,f,2.05
100%,100%,f,t,t,210,t,5,f,1.38
91%,38%,f,t,t,178,t,4.75,f,0.39
100%,99%,t,t,t,90,t,4.66,t,2.67
93%,100%,f,t,t,312,t,5,f,0.53
87%,32%,t,t,t,249,t,4.9,f,1.1
100%,97%,t,t,t,525,t,4.98,t,0.57
100%,98%,f,f,t,189,t,5,f,2.54
83%,80%,f,t,t,571,t,4.81,f,1.04
100%,99%,t,t,t,219,t,4.87,f,3.52
100%,100%,t,t,f,348,t,4.94,f,1.23
87%,32%,t,t,t,310,t,5,f,0.16
100%,98%,f,t,t,46,t,3,f,0.08
100%,65%,f,t,t,1042,t,4.25,f,0.07
100%,65%,f,t,t,1099,t,5,f,0.07
100%,86%,f,t,t,78,t,4.52,f,0.44
100%,99%,t,t,t,314,t,4.58,t,0.19
100%,86%,f,t,t,84,t,4.47,f,0.31
100%,50%,f,t,t,225,t,5,f,0.09
100%,100%,f,t,t,1034,t,3.89,t,0.25
100%,100%,f,t,t,241,t,4,t,0.05
100%,99%,f,t,t,232,t,4.83,t,2.32
100%,100%,f,t,t,235,t,4.91,t,0.65
100%,100%,f,t,t,391,t,4.57,t,1.25
93%,100%,f,t,t,263,t,4.52,t,0.4
100%,100%,f,t,f,135,t,2.5,t,0.52
98%,100%,t,t,t,92,t,4.8,t,3.08
100%,100%,f,t,t,499,t,5,t,0.11
100%,99%,f,t,t,176,t,4.67,f,1.08
100%,96%,t,t,t,62,t,4.94,t,3
100%,99%,f,t,t,194,t,4.76,t,0.85
100%,100%,t,t,t,249,t,4.95,t,0.65
100%,98%,f,t,t,112,t,4.84,t,1.29
100%,100%,t,t,f,73,t,5,t,2.69
98%,17%,f,t,t,350,t,5,f,0.08
100%,100%,t,t,t,117,t,4.86,f,3.06
100%,67%,t,t,t,400,t,5,f,0.52
100%,100%,f,t,t,665,t,5,t,0.15
100%,98%,t,t,t,140,t,4.83,f,0.31
100%,100%,t,t,t,64,t,4.99,f,6.64
100%,99%,t,t,f,88,t,4.79,f,0.76
100%,100%,t,t,t,208,t,4.9,t,1.88
100%,96%,t,t,t,232,t,5,t,2.07
99%,97%,f,t,t,179,t,4.44,t,0.18
100%,99%,t,t,t,143,t,4.88,f,3.38
100%,93%,f,t,t,150,t,5,t,0.23
100%,98%,f,t,t,281,t,4.14,t,0.65
90%,98%,t,t,t,244,t,4.82,f,2.12
100%,86%,f,t,t,80,t,4.5,f,0.42
100%,96%,t,t,t,1036,t,5,f,0.06
90%,100%,t,t,f,60,t,5,f,1.35
100%,98%,t,t,t,65,t,4.95,f,2.63
100%,100%,t,t,t,220,t,5,t,0.08
80%,92%,f,t,t,182,t,4.71,f,1.97
100%,100%,t,t,t,220,t,5,t,0.02
100%,100%,t,t,t,379,t,4.94,t,0.58
100%,78%,f,t,t,300,t,4.51,f,0.56
99%,33%,f,t,t,259,t,5,f,0.21
100%,100%,t,t,t,164,t,4.88,f,3.05
87%,32%,t,t,t,249,t,4.88,f,1.09
100%,86%,t,t,t,154,t,4.89,f,1.92
100%,100%,t,t,t,269,t,4.88,t,0.61
87%,32%,t,t,t,217,t,4.9,f,1.03
100%,99%,t,t,t,139,t,5,t,3.19
87%,32%,t,t,t,217,t,5,f,0.19
98%,100%,t,t,t,246,t,4.95,t,3.86
87%,32%,t,t,t,249,t,4.87,f,0.53
99%,99%,f,t,f,111,t,4.27,t,3.37
100%,100%,t,t,t,650,t,4.89,t,0.66
100%,97%,t,t,t,393,t,5,t,0.7
99%,97%,f,t,t,250,t,4.79,t,0.38
100%,100%,t,t,t,220,t,5,t,0.08
100%,96%,t,t,t,448,t,5,t,1
100%,88%,f,t,t,115,t,5,t,0.88
100%,100%,t,t,t,220,t,5,t,0.02
100%,98%,f,t,t,495,t,5,t,0.11
87%,32%,t,t,t,217,t,4.95,f,0.85
100%,100%,f,t,t,244,t,4.78,t,0.52
96%,99%,f,t,t,163,t,4.68,f,2.08
88%,98%,f,t,t,108,t,4.75,t,1.36
100%,96%,f,t,t,224,t,4.79,f,2.6
87%,32%,t,t,t,217,t,4.5,f,0.26
100%,80%,f,t,f,140,t,4.8,f,0.41
100%,100%,t,t,t,329,t,4.88,t,1.15
60%,19%,f,t,t,189,t,4.6,f,0.36
100%,86%,f,t,t,85,t,4.75,f,0.37
87%,32%,t,t,t,217,t,5,f,0.18
100%,99%,t,t,t,184,t,4.98,t,3.02
100%,93%,f,t,f,225,t,5,f,2
95%,98%,f,t,t,185,t,5,t,0.56
87%,32%,t,t,t,203,t,5,f,0.28
99%,97%,f,t,t,291,t,4.43,t,0.39
100%,99%,t,t,t,206,t,4.93,t,1.09
100%,99%,t,t,t,119,t,4.95,t,1.82
99%,33%,f,t,t,259,t,5,f,0.29
100%,100%,t,t,t,287,t,4.59,t,0.36
100%,99%,t,t,t,196,t,4.7,f,3.03
87%,32%,t,t,t,255,t,5,f,0.39
100%,98%,f,t,t,339,t,5,t,0.09
88%,98%,f,t,t,90,t,4.45,t,1.59
100%,0%,f,t,f,125,t,5,f,0.05
87%,32%,t,t,t,249,t,5,f,0.14
87%,32%,t,t,t,249,t,5,f,0.36
100%,96%,t,t,t,96,t,4.58,f,1.04
100%,100%,t,t,t,389,t,4.89,t,0.75
100%,90%,t,t,t,228,t,4.97,f,1.73
87%,32%,t,t,t,249,t,4.9,f,0.73
100%,100%,f,t,t,269,t,4.6,t,1.62
100%,100%,f,t,t,149,t,4.82,t,0.67
100%,100%,t,t,f,124,t,4.52,f,1.51
100%,96%,t,t,t,166,t,4.95,t,3.54
100%,100%,t,t,t,190,t,4.92,t,2.59
100%,96%,t,t,t,181,t,4.98,t,2.95
98%,100%,t,t,t,168,t,4.89,t,4.4
100%,98%,t,t,t,162,t,4.99,f,3.55
100%,99%,f,t,t,1459,t,5,t,0.13
100%,99%,f,t,t,230,t,5,t,1.11
90%,95%,f,t,t,120,t,4.5,f,0.38
100%,100%,t,t,t,105,t,4.92,t,3.1
100%,98%,t,t,t,120,t,4.88,t,2.1
100%,100%,t,t,t,125,t,4.99,f,0.76
87%,32%,t,t,t,203,t,3,f,0.16
100%,99%,t,t,t,291,t,4.85,t,3.81
100%,87%,f,t,f,132,t,4.44,f,1.74
98%,21%,t,t,t,226,t,4.67,f,0.67
88%,98%,f,t,t,104,t,4.44,f,1.16
96%,100%,f,t,t,446,t,4,t,0.09
100%,100%,f,t,t,76,t,4.73,t,1.79
100%,100%,f,t,t,449,t,4.81,f,1.87
100%,100%,t,t,t,323,t,4.85,t,1.66
97%,99%,t,t,t,2495,t,4.25,t,0.12
99%,99%,f,t,f,87,t,4.36,t,3.88
98%,21%,t,t,t,226,t,5,f,0.13
100%,100%,t,t,t,181,t,4.82,f,1.42
98%,100%,t,t,t,196,t,4.89,t,3.83
87%,32%,t,t,t,203,t,4.89,f,0.33
90%,94%,t,t,t,282,t,5,f,0.5
100%,97%,t,t,t,1575,t,5,t,0.15
100%,100%,t,t,t,550,t,4.73,t,0.96
100%,100%,t,t,t,189,t,4.89,t,0.78
100%,100%,f,t,t,90,t,4.65,f,2.01
100%,99%,t,t,t,247,t,4.94,f,0.88
100%,99%,t,t,t,189,t,4.66,f,3.05
100%,100%,f,t,f,369,t,5,t,0.03
100%,100%,f,t,t,342,t,4.63,t,0.42
100%,99%,f,t,t,142,t,4.74,f,2.62
100%,100%,f,t,f,443,t,5,t,0.07
100%,98%,f,t,t,459,t,4.67,t,0.26
100%,100%,f,t,t,250,t,4.64,f,1.3
96%,100%,f,t,t,551,t,5,t,0.15
100%,100%,f,t,t,303,t,4.56,f,1.73
90%,100%,f,t,t,512,t,4.86,t,0.3
100%,98%,f,t,t,379,t,5,t,0.14
100%,60%,f,t,t,67,t,4.81,f,1.93
100%,86%,f,t,t,101,t,4.5,f,0.26
100%,96%,t,t,t,268,t,4.97,t,3.09
100%,98%,f,t,t,364,t,3,t,0.09
25%,0%,f,t,t,300,t,5,f,0.09
100%,100%,t,t,t,300,t,4.9,t,1.16
100%,100%,t,t,t,200,t,4.91,f,3.75
100%,99%,t,t,t,314,t,4.79,t,1.31
100%,96%,f,t,t,86,t,4.82,t,0.1
100%,100%,t,t,t,271,t,4.7,t,1.07
100%,99%,t,t,t,145,t,4.78,f,1.2
100%,100%,f,f,t,121,t,4.6,t,3.46
100%,100%,f,t,t,150,t,4.54,t,0.41
100%,99%,f,t,t,249,t,4.67,t,0.42
100%,100%,f,t,t,96,t,4.95,f,5.08
100%,86%,f,t,t,74,t,4.64,f,0.23
100%,100%,f,t,t,140,t,4.58,t,0.66
90%,93%,f,t,t,109,t,5,f,1.91
100%,100%,t,t,t,156,t,5,f,2.5
100%,99%,t,t,t,551,t,4.8,t,0.16
100%,100%,f,t,t,89,t,4.2,t,0.24
100%,100%,f,t,t,160,t,5,f,2.5
100%,100%,f,t,t,395,t,5,t,0.16
100%,100%,t,t,t,339,t,4.83,t,0.58
100%,99%,t,t,t,118,t,4.86,t,1.93
100%,99%,t,t,t,120,t,4.92,t,0.99
100%,99%,f,t,t,1256,t,4.82,t,0.31
100%,99%,f,t,f,200,t,4.42,f,0.87
100%,92%,t,t,t,129,t,4.85,t,1.67
100%,100%,t,t,f,1042,t,4.99,t,1.48
99%,99%,f,t,f,157,t,3.67,t,3
93%,100%,f,t,t,397,t,4.52,t,0.54
100%,99%,t,t,t,164,t,4.9,f,2.55
100%,99%,t,t,t,173,t,4.95,t,4.52
100%,100%,f,t,t,229,t,4.47,f,3.13
100%,100%,f,t,t,120,t,5,t,1.03
100%,84%,f,t,t,350,t,5,f,0.09
100%,96%,f,t,t,204,t,4.73,f,3.95
88%,98%,f,t,t,159,t,4.37,f,2.45
100%,92%,t,t,t,142,t,4.85,t,1.23
100%,100%,f,t,t,576,t,4.87,t,0.93
100%,100%,f,t,t,97,t,4.57,t,2.67
100%,100%,t,t,t,140,t,4.85,f,2.22
100%,95%,t,t,t,300,t,4.95,f,2.7
100%,98%,f,t,t,45,t,4.83,t,0.19
100%,100%,t,t,t,143,t,4.8,f,1.7
100%,99%,t,t,t,123,t,4.88,t,0.87
100%,98%,f,t,t,455,t,5,t,0.1
99%,71%,t,t,t,179,t,5,f,0.48
100%,86%,f,t,t,110,t,4,f,0.61
100%,100%,t,t,t,211,t,4.92,t,3.49
100%,99%,f,t,t,313,t,4.91,t,0.74
100%,100%,f,t,t,322,t,4.86,t,1.06
100%,99%,f,t,t,221,t,4.71,f,4.26
100%,99%,t,t,t,975,t,4.91,t,1
100%,100%,t,t,t,182,t,4.93,f,3.49
93%,100%,f,t,t,309,t,4.68,t,0.58
100%,100%,f,t,t,165,t,4.85,t,0.32
100%,100%,f,t,t,125,t,4.55,t,0.92
100%,98%,t,t,t,525,t,4.9,f,0.32
100%,100%,f,t,f,236,t,4.66,t,2.58
100%,98%,t,t,t,229,t,4.89,f,7.73
100%,90%,t,t,t,716,t,4.94,f,0.96
100%,100%,t,t,t,150,t,4.95,f,3.26
100%,100%,f,t,t,140,t,4.73,f,1.01
100%,100%,f,t,f,110,t,4.5,t,0.6
89%,100%,f,t,t,395,t,4.71,f,0.73
100%,96%,t,t,t,155,t,4.92,f,2.98
100%,94%,t,t,f,428,t,4.84,t,1.6
100%,100%,t,t,t,275,t,4.94,t,2.29
100%,99%,f,t,t,229,t,4.69,t,0.91
100%,100%,t,t,t,80,t,4.96,t,5.44
100%,98%,f,t,t,395,t,4.76,t,1.43
100%,0%,f,t,t,125,t,4.79,f,0.14
100%,100%,t,t,t,450,t,4.92,t,0.96
100%,100%,t,t,t,329,t,4.85,t,1.3
100%,98%,f,t,t,250,t,4.54,t,3.31
100%,100%,f,t,t,159,t,3.8,f,0.22
100%,88%,t,t,t,97,t,4.96,f,1.58
100%,100%,t,t,t,898,t,4.79,t,0.82
100%,100%,f,t,t,100,t,5,t,2.5
100%,99%,t,t,t,228,t,4.77,f,3.15
100%,100%,f,t,t,280,t,4.8,t,0.63
100%,100%,f,t,f,129,t,5,t,0.34
100%,91%,t,t,f,259,t,4.91,f,1.38
100%,77%,t,t,t,100,t,4.9,f,0.93
100%,99%,f,t,t,154,t,5,t,0.15
100%,88%,t,t,f,450,t,4.96,f,2.59
100%,97%,t,t,t,165,t,4.75,f,0.39
100%,100%,t,t,t,140,t,4.99,f,3.78
100%,100%,f,t,t,164,t,5,t,0.11
100%,92%,f,t,t,636,t,4.97,f,0.6
100%,100%,t,t,f,500,t,5,t,0.07
90%,100%,f,t,t,528,t,4.4,t,2.39
100%,100%,t,t,t,110,t,4.81,t,0.84
100%,100%,t,t,t,950,t,4.89,t,3.35
100%,96%,t,t,t,194,t,4.94,f,3.78
94%,96%,t,t,t,80,t,4.82,f,0.5
100%,99%,t,t,t,685,t,4.83,f,3.47
94%,94%,f,t,t,1041,t,4.55,f,0.39
100%,83%,t,t,t,121,t,4.76,f,1.89
100%,100%,t,t,t,299,t,4.85,t,0.79
100%,100%,t,t,f,215,t,4.86,t,1.32
100%,100%,f,t,t,365,t,4.93,t,0.6
100%,96%,f,t,t,165,t,4.42,t,0.26
100%,100%,f,t,t,182,t,4.61,t,0.32
100%,100%,f,t,t,350,t,4.85,t,0.23
100%,100%,t,t,t,129,t,4.89,t,2.55
100%,99%,t,t,t,208,t,4.97,t,1.64
100%,99%,f,t,t,689,t,5,t,0.2
100%,100%,f,t,t,230,t,4.77,t,0.49
100%,100%,t,t,t,350,t,4.83,t,0.36
100%,100%,t,t,t,299,t,4.75,t,0.84
100%,89%,t,t,t,135,t,4.88,f,2.08
100%,100%,t,t,t,122,t,5,f,1.39
90%,100%,t,t,f,66,t,4.81,f,1.83
100%,99%,t,t,t,87,t,4.95,f,4.38
100%,100%,f,t,t,190,t,5,f,2.85
100%,98%,f,t,t,164,t,4.7,t,2.69
100%,100%,t,t,f,1031,t,4.84,t,1.82
100%,100%,t,t,t,248,t,4.92,f,3.93
100%,94%,t,t,t,177,t,4.89,f,0.58
100%,97%,t,t,t,631,t,5,t,0.22
100%,100%,t,t,t,159,t,4.93,t,4.61
100%,97%,t,t,t,328,t,4.36,f,0.2
97%,80%,f,t,t,145,t,4.58,f,0.61
100%,100%,f,t,t,69,t,4.71,f,0.78
94%,96%,t,t,t,65,t,4.72,f,0.57
90%,100%,t,t,f,50,t,5,t,0.35
100%,100%,f,t,t,50,t,5,t,0.98
100%,96%,f,t,t,215,t,5,t,0.88
100%,94%,t,t,f,2499,t,4.5,t,0.07
100%,100%,t,t,t,560,t,4.92,t,0.72
100%,100%,t,t,t,230,t,5,t,0.11
100%,100%,t,t,t,139,t,4.69,f,0.37
100%,100%,t,t,t,800,t,5,f,0.19
100%,100%,f,t,t,30,t,4.71,f,3.07
100%,96%,t,t,t,239,t,5,t,1
100%,89%,f,t,t,254,t,4.94,f,3.29
100%,98%,t,t,t,600,t,4.75,f,0.39
100%,97%,t,t,t,179,t,4.96,t,2.09
80%,100%,f,t,t,250,t,4.57,t,2.41
100%,97%,t,t,t,351,t,4.87,f,0.91
100%,98%,t,t,t,221,t,4.87,f,2.78
94%,96%,t,t,t,130,t,4.14,t,0.3
100%,100%,t,t,t,259,t,4.7,t,0.46
100%,100%,t,t,t,369,t,4.8,t,0.71
99%,97%,f,t,t,356,t,4.79,t,0.26
99%,97%,f,t,t,201,t,4.45,t,0.21
100%,78%,t,t,t,275,t,4.8,f,0.6
100%,99%,f,t,t,147,t,4.67,t,2.03
100%,95%,f,t,t,354,t,4.75,f,1.85
100%,100%,t,t,t,131,t,4.96,f,3.39
100%,100%,t,t,t,188,t,4.71,f,4.47
100%,100%,t,t,t,279,t,4.84,t,4.47
100%,100%,f,t,t,325,t,4.88,t,1.03
100%,100%,t,t,t,225,t,4.97,t,0.27
100%,100%,t,t,t,349,t,4.91,t,0.5
100%,98%,t,t,t,130,t,4.97,t,3.81
100%,100%,t,t,t,339,t,4.92,t,0.38
100%,99%,f,t,t,352,t,4.87,f,0.44
94%,96%,t,t,t,125,t,4.55,f,1.23
100%,100%,f,t,t,176,t,4.82,f,2.13
100%,99%,t,t,t,315,t,5,t,0.51
100%,99%,t,t,f,74,t,4.55,f,0.67
100%,99%,t,t,t,359,t,4.75,t,0.75
100%,99%,t,t,t,165,t,4.92,f,2.36
100%,100%,t,t,t,165,t,4.98,f,2.59
100%,98%,t,t,t,60,t,3,f,0.09
83%,23%,f,t,t,155,t,4.64,f,0.34
100%,94%,t,t,t,181,t,5,f,2.28
100%,100%,t,t,t,60,t,5,f,0.38
100%,97%,t,t,t,145,t,4.65,t,3.52
100%,100%,f,t,t,409,t,4.91,f,0.23
100%,100%,t,t,t,299,t,4.99,f,2.15
100%,100%,f,t,t,138,t,4.76,f,1.66
100%,92%,f,t,f,371,t,5,f,0.46
100%,99%,f,t,t,742,t,4.73,t,0.58
100%,100%,f,t,t,77,t,4.73,t,4.26
100%,100%,f,t,t,525,t,4.33,t,0.1
0%,0%,f,t,f,475,t,5,t,0.04
100%,100%,f,t,t,416,t,4.86,t,0.09
100%,99%,f,t,t,214,t,4.18,t,0.57
100%,100%,t,t,t,500,t,4.95,t,0.87
100%,100%,t,t,t,199,t,4.88,t,1.89
100%,97%,t,t,t,271,t,4.86,f,1.84
100%,100%,t,t,t,283,t,4.9,t,0.86
94%,96%,t,t,t,124,t,4.87,t,0.45
100%,100%,t,t,t,225,t,4.9,t,3.07
100%,99%,f,t,t,742,t,4.75,t,0.9
100%,100%,t,t,t,331,t,4.5,t,0.35
100%,100%,t,t,t,286,t,4.98,f,1.99
100%,97%,t,t,t,2046,t,4.8,f,0.95
100%,96%,f,t,t,100,t,5,f,1.85
100%,100%,t,t,t,155,t,5,f,2
100%,73%,t,t,t,300,t,4.72,f,0.47
100%,100%,f,t,f,475,t,5,t,0.53
100%,100%,f,t,t,300,t,5,f,0.42
100%,100%,t,t,t,139,t,5,t,0.14
100%,100%,f,t,t,327,t,4.74,t,0.65
100%,100%,t,t,t,158,t,4.91,t,1.16
100%,100%,f,t,t,199,t,5,f,1
100%,100%,t,t,t,219,t,4.85,t,0.84
100%,100%,t,t,t,125,t,4.8,t,1.45
100%,96%,t,t,t,179,t,4.9,f,2.34
86%,100%,t,t,t,285,t,4.96,t,1.12
100%,100%,t,t,t,420,t,4.88,t,0.47
100%,100%,t,t,t,70,t,4.91,t,4.35
100%,97%,t,t,t,1000,t,5,t,0.1
100%,97%,t,t,t,470,t,5,t,0.26
100%,100%,f,t,f,87,t,4.92,f,1.41
100%,100%,t,t,t,80,t,4.99,t,4.16
98%,17%,f,t,t,288,t,5,f,0.13
100%,100%,t,t,t,450,t,4.9,f,1.7
65%,99%,f,t,t,88,t,4.65,t,2.22
100%,100%,f,t,t,56,t,4.56,t,1.9
100%,99%,t,t,t,165,t,4.82,f,2.53
100%,100%,t,t,t,259,t,4.91,t,0.56
100%,100%,f,t,t,58,t,4.2,t,0.34
100%,99%,t,t,t,168,t,4.72,t,1.17
100%,99%,f,t,t,1059,t,5,t,0.02
86%,96%,t,t,t,275,t,4.89,t,0.66
100%,96%,f,t,t,200,t,4.65,t,0.51
0%,100%,f,t,t,120,t,4.63,t,0.67
100%,100%,t,t,t,386,t,4.93,t,1.04
83%,23%,f,t,t,100,t,4.58,f,0.3
100%,88%,t,t,t,96,t,4.86,f,0.9
100%,95%,t,t,t,795,t,4.89,f,2.46
100%,100%,t,t,t,360,t,5,t,0.22
100%,100%,t,t,t,190,t,4.9,t,1.52
100%,98%,t,t,t,206,t,4.78,f,9.69
100%,100%,t,t,t,219,t,5,f,2
100%,97%,t,t,t,420,t,4.94,t,0.71
100%,98%,t,t,t,265,t,4.98,f,3.28
100%,100%,t,t,t,600,t,4.91,t,0.97
100%,99%,f,t,t,211,t,5,t,0.18
100%,98%,f,t,t,424,t,5,t,0.11
100%,100%,f,t,t,95,t,3.94,t,0.33
100%,100%,t,t,t,66,t,5,t,3.07
100%,100%,f,t,t,354,t,4.39,t,0.91
100%,50%,f,t,t,225,t,4.78,f,0.37
100%,100%,t,t,f,63,t,5,t,1.33
100%,92%,t,t,t,358,t,4.68,f,4.62
100%,95%,t,t,t,598,t,4.89,t,1.29
100%,100%,f,t,t,120,t,4.78,f,1.09
100%,73%,t,t,t,138,t,4.54,f,0.48
100%,99%,t,t,t,289,t,4.93,t,4.55
100%,100%,t,t,t,520,t,4.94,t,1.41
100%,99%,t,t,f,180,t,4.96,t,7.09
100%,100%,t,t,t,439,t,4.79,t,0.15
100%,100%,f,t,t,145,t,4.97,f,0.86
100%,82%,t,t,t,131,t,5,f,2.39
100%,99%,f,t,t,400,t,4.83,t,2.02
100%,100%,t,t,t,261,t,4.95,t,3.02
100%,100%,t,t,t,100,t,4.6,f,0.28
100%,100%,t,t,t,103,t,4.75,f,1.94
100%,100%,f,t,t,241,t,4.93,f,0.38
100%,98%,t,t,t,496,t,4.81,f,0.36
100%,100%,f,t,t,575,t,4.92,t,1.03
100%,95%,t,t,t,1295,t,5,f,0.08
100%,100%,f,t,t,255,t,4.73,t,0.99
100%,100%,f,t,t,99,t,4.77,t,2.02
100%,80%,f,t,t,280,t,5,f,0.42
100%,100%,t,t,t,259,t,4.8,t,1
100%,98%,t,t,t,193,t,4.95,f,1.57
100%,99%,t,t,t,69,t,4.98,t,2.72
100%,100%,t,t,t,234,t,4.75,t,2.11
