host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,price,has_availability,review_scores_rating,instant_bookable,reviews_per_month
100%,79%,t,t,t,271,t,4.9,f,0.64
100%,100%,t,t,t,261,t,4.75,t,0.13
100%,99%,f,t,t,206,t,4.74,t,0.42
100%,96%,t,t,t,849,t,4.57,f,0.08
100%,99%,t,t,t,133,t,4.64,f,2.71
100%,82%,t,t,t,158,t,4.77,f,1.98
100%,99%,t,t,f,80,t,4.84,t,0.72
100%,91%,t,t,t,115,t,4.63,f,2.09
93%,89%,f,t,t,249,t,5,f,0.06
100%,91%,f,t,f,265,t,4.75,f,0.06
100%,100%,t,t,t,489,t,4.83,f,1.36
93%,89%,f,t,t,245,t,4.5,f,0.25
100%,100%,t,t,f,304,t,4.97,f,2.85
100%,100%,f,t,t,158,t,4.82,f,0.52
87%,39%,f,t,t,155,t,4.61,f,0.68
100%,99%,t,t,t,426,t,4.83,f,0.81
100%,82%,t,t,t,309,t,4.92,f,1.33
91%,100%,f,t,t,860,t,4,t,0.15
100%,97%,f,t,t,187,t,4.75,f,4.47
100%,59%,f,t,t,387,t,5,t,0.07
100%,77%,t,t,t,157,t,4.89,f,0.31
100%,92%,f,t,t,95,t,4.75,f,0.58
100%,100%,f,t,t,135,t,4.8,t,0.53
100%,100%,f,t,t,149,t,4.85,t,3.15
100%,100%,f,t,t,78,t,4.7,t,4.11
100%,96%,t,t,t,475,t,4.83,f,0.33
100%,100%,f,t,t,125,t,5,f,1
100%,100%,t,t,f,162,t,5,f,0.23
100%,100%,f,t,t,122,t,5,t,1.04
100%,100%,t,t,t,35,t,4.6,t,0.86
100%,100%,t,t,f,95,t,4.87,t,1.79
100%,100%,f,t,t,110,t,4.65,t,0.9
97%,73%,t,t,t,150,t,4.88,f,1.13
100%,100%,t,t,t,611,t,4.84,f,0.48
100%,100%,t,t,t,230,t,4.68,t,1.04
100%,99%,f,t,t,207,t,4.71,t,0.25
100%,100%,f,t,t,235,t,4.37,t,0.46
95%,99%,t,t,t,350,t,4.91,f,1.19
100%,98%,t,t,t,149,t,4.96,t,3.05
100%,100%,f,t,t,118,t,5,f,0.74
100%,100%,f,t,t,190,t,4.67,f,0.69
100%,91%,f,t,t,168,t,5,t,1.7
100%,98%,t,t,t,149,t,4.91,t,1.22
100%,100%,f,t,t,94,t,4.94,f,2.16
100%,76%,f,t,t,551,t,5,t,0.11
83%,23%,f,t,t,45,t,4.65,f,0.23
98%,21%,t,t,t,167,t,5,f,0.3
90%,98%,f,t,t,70,t,4.71,f,1.48
100%,95%,t,t,t,168,t,4.86,f,0.35
100%,100%,f,t,t,82,t,4.72,t,5.42
100%,100%,f,t,t,164,t,4,t,0.13
100%,98%,t,t,t,75,t,5,f,0.28
100%,100%,t,t,t,150,t,4.86,f,14.04
100%,93%,f,t,t,95,t,4.89,t,0.77
100%,95%,f,t,t,1895,t,5,t,0.2
100%,80%,f,t,t,400,t,5,f,2
100%,98%,t,t,t,150,t,4.94,f,1.21
100%,100%,f,t,t,189,t,5,t,0.04
100%,70%,f,t,t,65,t,4.76,t,1.53
100%,100%,t,t,t,175,t,4.91,t,1.17
100%,100%,t,t,t,125,t,5,t,0.98
100%,100%,t,t,t,157,t,4.86,t,7.82
100%,97%,f,t,t,105,t,4.5,t,0.56
100%,97%,t,t,t,124,t,4.92,f,2.25
100%,95%,t,t,t,108,t,4.99,f,3.27
68%,75%,f,t,t,3609,t,4.79,t,0.25
100%,100%,f,t,t,69,t,4.86,f,0.64
97%,99%,t,t,t,1995,t,5,t,0.03
90%,76%,f,t,t,99,t,4.69,t,0.27
100%,100%,t,t,f,236,t,4.96,f,1.16
100%,100%,t,t,t,96,t,4.95,f,2.52
100%,99%,t,t,t,425,t,4.96,f,0.93
100%,94%,t,t,t,224,t,4.88,f,0.57
100%,100%,f,t,t,729,t,4.4,f,0.16
100%,93%,f,t,t,129,t,4.13,t,0.6
100%,92%,t,t,t,285,t,4.82,f,0.42
100%,100%,f,t,t,48,t,4.78,f,1.9
100%,100%,f,t,t,121,t,4.53,t,1.22
100%,100%,f,t,t,369,t,5,t,0.78
100%,99%,f,t,t,167,t,4.66,t,0.92
100%,100%,t,t,t,153,t,4.96,t,1.08
100%,29%,f,t,t,146,t,4.81,f,0.24
100%,53%,f,t,t,220,t,3,f,0.29
100%,97%,f,t,f,119,t,4.77,t,0.7
100%,100%,f,t,t,354,t,4.9,t,0.42
100%,100%,f,t,f,542,t,5,t,0.11
100%,98%,t,t,t,319,t,4.88,f,1.05
100%,99%,t,t,t,154,t,4.88,t,0.95
100%,99%,t,t,t,236,t,4.95,t,0.46
97%,99%,t,t,t,1750,t,5,t,0.4
100%,99%,t,t,t,241,t,4.75,t,0.63
100%,97%,t,t,t,1023,t,4.6,t,0.49
100%,99%,f,t,f,38,t,4.67,t,0.37
97%,80%,f,t,t,564,t,5,f,0.87
86%,96%,t,t,t,675,t,5,t,0.02
0%,14%,f,t,t,299,t,5,f,0.12
100%,100%,t,t,t,452,t,4.88,t,1.65
100%,100%,f,t,t,489,t,5,t,1
100%,76%,t,t,t,200,t,5,f,0.88
100%,100%,f,t,t,257,t,5,t,0.58
100%,100%,f,t,t,136,t,5,t,0.63
100%,99%,t,t,t,1044,t,5,t,0.17
100%,100%,t,t,t,150,t,4.72,t,3.45
100%,79%,t,t,t,250,t,4.86,f,1.11
100%,89%,f,t,f,89,t,4.96,f,0.32
100%,97%,t,t,t,1585,t,4.67,t,0.18
100%,100%,t,t,f,403,t,4.92,t,1.69
100%,99%,f,t,t,1259,t,4.33,t,0.05
100%,97%,t,t,t,219,t,4.93,f,2.42
100%,100%,f,t,f,343,t,5,t,0.19
100%,95%,f,t,t,100,t,4.84,t,0.7
100%,97%,t,t,t,1813,t,5,t,0.2
100%,100%,f,t,t,331,t,5,f,4.11
100%,100%,f,t,t,300,t,5,f,1
100%,100%,f,t,f,135,t,4.75,f,1.67
100%,99%,f,t,t,372,t,4.5,t,0.07
100%,99%,f,t,t,208,t,4.6,t,1.13
97%,80%,f,t,t,255,t,5,f,0.06
100%,97%,t,t,t,197,t,4.86,f,5.12
100%,100%,f,t,t,211,t,4.87,t,2.64
100%,76%,f,t,t,661,t,5,t,0.03
100%,100%,t,t,f,448,t,5,f,3.13
100%,100%,f,t,t,165,t,4.78,t,1.51
91%,100%,f,t,t,981,t,5,t,0.26
97%,99%,t,t,t,2200,t,5,t,0.24
100%,99%,t,t,t,1044,t,4.5,t,0.21
100%,76%,f,t,t,273,t,4.74,t,0.66
100%,100%,t,t,t,189,t,4.87,t,3.42
60%,67%,f,t,t,325,t,4.81,f,0.89
100%,100%,f,t,t,89,t,4.44,f,2.94
100%,99%,f,t,t,1143,t,5,t,0.2
100%,76%,f,t,t,242,t,4.66,t,0.82
100%,100%,f,t,f,456,t,4.67,f,1.35
100%,100%,t,t,t,439,t,4.83,t,0.68
99%,97%,f,t,t,344,t,4.78,t,0.32
99%,97%,f,t,t,351,t,4.83,t,0.18
100%,100%,f,t,t,291,t,4.86,f,0.87
100%,100%,f,t,t,198,t,4.27,t,0.87
100%,97%,t,t,t,729,t,5,t,0.03
100%,89%,f,t,t,200,t,5,t,0.03
100%,98%,t,t,t,619,t,5,t,0.03
100%,99%,f,t,t,2399,t,5,t,0.02
100%,100%,t,t,t,327,t,4.89,t,2.26
100%,70%,f,t,t,495,t,4.8,f,0.45
100%,76%,f,t,t,289,t,4.89,t,1.79
100%,98%,t,t,t,519,t,4,t,0.02
100%,97%,t,t,t,602,t,4.89,t,0.26
99%,51%,t,t,t,236,t,4.75,f,1.17
100%,99%,f,t,t,199,t,4.47,t,0.53
100%,96%,t,t,t,569,t,4.6,f,0.36
100%,98%,t,t,t,579,t,5,t,0.04
100%,87%,t,t,f,249,t,4.87,f,0.92
100%,96%,t,t,f,450,t,4.81,f,1.05
100%,99%,t,t,t,100,t,5,t,0.11
100%,97%,t,t,t,155,t,4.8,t,0.66
100%,99%,f,t,t,3399,t,5,t,0.02
100%,76%,t,t,t,933,t,4.89,f,0.14
100%,75%,f,t,t,105,t,4.88,f,0.47
100%,98%,f,t,t,113,t,4.64,t,1.01
100%,68%,f,t,t,2250,t,5,f,0.18
